OBJECTID,ZIP_CODE,AdminOffice
1373,96086,JH
1374,94503,JHF
1375,94508,JHF
1376,94510,JHF
1377,94512,JHF
1378,94515,JHF
1379,94533,JHF
1380,94534,JHF
1381,94535,JHF
1382,94558,JHF
1383,94559,JHF
1384,94567,JHF
1385,94571,JHF
1386,94574,JHF
1387,94576,JHF
1388,94585,JHF
1389,94589,JHF
1390,94590,JHF
1391,94591,JHF
1392,94592,JHF
1393,94599,JHF
1394,95606,JHF
1395,95607,JHF
1396,95616,JHF
1397,95620,JHF
1398,95627,JHF
1399,95637,JHF
1400,95653,JHF
1401,95679,JHF
1402,95687,JHF
1403,95688,JHF
1404,95694,JHF
1405,95695,JHF
1406,95697,JHF
1407,95698,JHF
1408,95912,JHF
1409,95932,JHF
1410,95937,JHF
1411,95955,JHF
1412,95979,JHF
1413,95987,JHF
1414,00029,KH
1415,00033,KH
1416,00044,KH
1417,00051,KH
1418,00052,KH
1419,93517,KH
1420,93529,KH
1421,93541,KH
1422,95202,KH
1423,95203,KH
1424,95204,KH
1425,95205,KH
1426,95206,KH
1427,95207,KH
1428,95209,KH
1429,95210,KH
1430,95211,KH
1431,95212,KH
1432,95215,KH
1433,95219,KH
1434,95220,KH
1435,95222,KH
1436,95223,KH
1437,95224,KH
1438,95225,KH
1439,95226,KH
1440,95227,KH
1441,95228,KH
1442,95230,KH
1443,95231,KH
1444,95232,KH
1445,95236,KH
1446,95237,KH
1447,95240,KH
1448,95242,KH
1449,95245,KH
1450,95246,KH
1451,95247,KH
1452,95248,KH
1453,95249,KH
1454,95251,KH
1455,95252,KH
1456,95253,KH
1457,95254,KH
1458,95255,KH
1459,95257,KH
1460,95258,KH
1461,95304,KH
1462,95307,KH
1463,95313,KH
1464,95316,KH
1465,95319,KH
1466,95320,KH
1467,95323,KH
1468,95326,KH
1469,95328,KH
1470,95330,KH
1471,95336,KH
1472,95337,KH
1473,95350,KH
1474,95351,KH
1475,95354,KH
1476,95355,KH
1477,95356,KH
1478,95357,KH
1479,95358,KH
1480,95360,KH
1481,95361,KH
1482,95363,KH
1483,95364,KH
1484,95366,KH
1485,95367,KH
1486,95368,KH
1487,95376,KH
1488,95377,KH
1489,95380,KH
1490,95382,KH
